HCL AppScan on Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Description,Report Date U T C,Total Issues In The Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Static_jazzcalm_workspace_2023-02-17_04-22-33_2023-03-02,,2023-03-02T10:34:18Z,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application Attributes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Impact,Business Unit,Description,Hosts,Max Severity,Risk Rating,Testing Status,Url,Date Created,Last Updated,Availability Requirement,Collateral Damage Potential,Confidentiality Requirement,Integrity Requirement,Target Distribution,Business Owner,Development Contact,Tester,,,,,,,,,,,,,,,,
14f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Cryptography.InsecureAlgorithm,Replace this cryptographic algorithm with one that is considered sufficiently strong,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,327,,,com.urbancode.commons.util.IO.md5Digester():MessageDigest:1517,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.IO.md5Digester():java.security.MessageDigest,,Sast,,0,,,,,,com\urbancode\commons\util\IO.java,e5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
17f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Cryptography.InsecureAlgorithm,Replace this cryptographic algorithm with one that is considered sufficiently strong,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,327,,,com.urbancode.commons.util.IO.sha1Digester():MessageDigest:2638,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.IO.sha1Digester():java.security.MessageDigest,,Sast,,0,,,,,,com\urbancode\commons\util\IO.java,e5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
86f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Cryptography.InsecureAlgorithm,Replace this cryptographic algorithm with one that is considered sufficiently strong,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,327,,,com.urbancode.commons.util.crypto.algs.PBEAlg.encryptPBE(String):String:156,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.crypto.algs.PBEAlg.encryptPBE(java.lang.String):java.lang.String,,Sast,,0,,,,,,com\urbancode\commons\util\crypto\algs\PBEAlg.java,06a36692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
89f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Cryptography.InsecureAlgorithm,Replace this cryptographic algorithm with one that is considered sufficiently strong,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,327,,,com.urbancode.commons.util.crypto.algs.PBEAlg.encryptPBE(String):String:158,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.crypto.algs.PBEAlg.encryptPBE(java.lang.String):java.lang.String,,Sast,,0,,,,,,com\urbancode\commons\util\crypto\algs\PBEAlg.java,d7a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
8cf85b9e-ccae-ed11-9173-14cb6572319f,High,3,Cryptography.InsecureAlgorithm,Replace this cryptographic algorithm with one that is considered sufficiently strong,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,327,,,com.urbancode.commons.util.crypto.algs.PBEAlg.decryptPBE(String):String:232,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.crypto.algs.PBEAlg.decryptPBE(java.lang.String):java.lang.String,,Sast,,0,,,,,,com\urbancode\commons\util\crypto\algs\PBEAlg.java,06a36692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
7af85b9e-ccae-ed11-9173-14cb6572319f,High,3,Cryptography.InsecureAlgorithm,Replace this cryptographic algorithm with one that is considered sufficiently strong,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,327,,,com.urbancode.commons.util.UniqueIDGenerator$2.initialValue():MessageDigest:53,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.UniqueIDGenerator$2.initialValue():java.security.MessageDigest,,Sast,,0,,,,,,com\urbancode\commons\util\UniqueIDGenerator.java,e5a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
7df85b9e-ccae-ed11-9173-14cb6572319f,High,3,Cryptography.InsecureAlgorithm,Replace this cryptographic algorithm with one that is considered sufficiently strong,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,327,,,com.urbancode.commons.util.crypto.algs.DESAlg.encryptDESede(String):String:131,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.crypto.algs.DESAlg.encryptDESede(java.lang.String):java.lang.String,,Sast,,0,,,,,,com\urbancode\commons\util\crypto\algs\DESAlg.java,fea26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
80f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Cryptography.InsecureAlgorithm,Replace this cryptographic algorithm with one that is considered sufficiently strong,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,327,,,com.urbancode.commons.util.crypto.algs.DESAlg.encryptDESede(String):String:136,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.crypto.algs.DESAlg.encryptDESede(java.lang.String):java.lang.String,,Sast,,0,,,,,,com\urbancode\commons\util\crypto\algs\DESAlg.java,d7a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
83f85b9e-ccae-ed11-9173-14cb6572319f,High,3,Cryptography.InsecureAlgorithm,Replace this cryptographic algorithm with one that is considered sufficiently strong,Information Leakage,"It is possible to gather sensitive information about the web application such as usernames, passwords, machine name and/or sensitive file locations",Sensitive information stored to disk in cleartext,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,327,,,com.urbancode.commons.util.crypto.algs.DESAlg.decryptDESede(String):String:193,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,com.urbancode.commons.util.crypto.algs.DESAlg.decryptDESede(java.lang.String):java.lang.String,,Sast,,0,,,,,,com\urbancode\commons\util\crypto\algs\DESAlg.java,d7a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
9da66398-ccae-ed11-9173-14cb6572319f,High,3,Open Redirect,Validate the URL against a white-list of acceptable URL's,URL Redirector Abuse,"It is possible for an attacker to use the web server to attack other sites, which increases his or her anonymity",User input is not checked for the '..' (dot dot) string,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,601,,,javax.servlet.http.HttpServletResponse.sendRedirect(String):void com.ibm.team.repository.provision.internal.auth.AuthenticatedIdentityServlet:60,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,60,com.ibm.team.repository.provision.internal.auth.AuthenticatedIdentityServlet.service(javax.servlet.http.HttpServletRequest;javax.servlet.http.HttpServletResponse):void,,Sast,,0,,,,,,com.ibm.team.repository.provision.internal.auth.AuthenticatedIdentityServlet,dba26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
a0a66398-ccae-ed11-9173-14cb6572319f,High,3,Open Redirect,Validate the URL against a white-list of acceptable URL's,URL Redirector Abuse,"It is possible for an attacker to use the web server to attack other sites, which increases his or her anonymity",User input is not checked for the '..' (dot dot) string,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,601,,,javax.servlet.http.HttpServletResponse.sendRedirect(String):void com.ibm.team.repository.provision.internal.auth.AuthenticatedIdentityServlet:60,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,60,com.ibm.team.repository.provision.internal.auth.AuthenticatedIdentityServlet.service(javax.servlet.http.HttpServletRequest;javax.servlet.http.HttpServletResponse):void,,Sast,,0,,,,,,com.ibm.team.repository.provision.internal.auth.AuthenticatedIdentityServlet,dba26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
98f85b9e-ccae-ed11-9173-14cb6572319f,High,3,PathTraversal,Validate and sanitize all externally supplied data that will be used to build the path string,Path Traversal,It is possible to access information stored in a sensitive data resource,User input is not checked for the '..' (dot dot) string,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,73,,,java.io.File(File;String):void com.urbancode.ds.client.AddVersionFilesCommand:122,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,122,com.urbancode.ds.client.AddVersionFilesCommand.execute():void,,Sast,,0,,,,,,com.urbancode.ds.client.AddVersionFilesCommand,fda26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
98a46692-ccae-ed11-9173-14cb6572319f,High,3,PathTraversal,Validate and sanitize all externally supplied data that will be used to build the path string,Path Traversal,It is possible to access information stored in a sensitive data resource,User input is not checked for the '..' (dot dot) string,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,73,,,java.io.File(String):void com.ibm.releng.utility.UpdateSiteGenerator:164,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,164,com.ibm.releng.utility.UpdateSiteGenerator.createFeatureJar(java.lang.String;java.lang.String):void,,Sast,,0,,,,,,com.ibm.releng.utility.UpdateSiteGenerator,fca26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
8ea56398-ccae-ed11-9173-14cb6572319f,High,3,PathTraversal,Validate and sanitize all externally supplied data that will be used to build the path string,Path Traversal,It is possible to access information stored in a sensitive data resource,User input is not checked for the '..' (dot dot) string,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,73,,,java.io.File(String):void com.ibm.team.install.calm.devops.Deployer:383,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,383,com.ibm.team.install.calm.devops.Deployer.checkKeyFile(java.lang.String;java.lang.String):void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,efa26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
91a56398-ccae-ed11-9173-14cb6572319f,High,3,PathTraversal,Validate and sanitize all externally supplied data that will be used to build the path string,Path Traversal,It is possible to access information stored in a sensitive data resource,User input is not checked for the '..' (dot dot) string,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,73,,,java.io.File(String):void com.ibm.team.install.calm.devops.Deployer:383,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,383,com.ibm.team.install.calm.devops.Deployer.checkKeyFile(java.lang.String;java.lang.String):void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,efa26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
94a56398-ccae-ed11-9173-14cb6572319f,High,3,PathTraversal,Validate and sanitize all externally supplied data that will be used to build the path string,Path Traversal,It is possible to access information stored in a sensitive data resource,User input is not checked for the '..' (dot dot) string,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,73,,,java.io.File(String):void com.ibm.team.install.calm.devops.Deployer:383,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,383,com.ibm.team.install.calm.devops.Deployer.checkKeyFile(java.lang.String;java.lang.String):void,,Sast,,0,,,,,,com.ibm.team.install.calm.devops.Deployer,fca26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
8fa46692-ccae-ed11-9173-14cb6572319f,High,3,PrivilegeEscalation,Grant the minimum access level necessary,Insufficient Authentication,It might be possible to escalate user privileges and gain administrative permissions over the web application,Insecure web application programming or configuration,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,266,,,java.lang.reflect.Method.invoke(Object;Object[]):Object com.ibm.releng.utility.PatchGeneration:97,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,97,com.ibm.releng.utility.PatchGeneration.encryptPassword(java.io.File;java.lang.String):void,,Sast,,0,,,,,,com.ibm.releng.utility.PatchGeneration,fba26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
75f95b9e-ccae-ed11-9173-14cb6572319f,High,3,Reflected Cross Site Scripting,Review possible solutions for hazardous character injection,Cross-site Scripting,"It may be possible to steal or manipulate customer session and cookies, which might be used to impersonate a legitimate user, allowing the hacker to view or alter user records, and to perform transactions as that user",Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,79,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:754,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,e3a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
b93654a4-ccae-ed11-9173-14cb6572319f,High,3,Reflected Cross Site Scripting,Review possible solutions for hazardous character injection,Cross-site Scripting,"It may be possible to steal or manipulate customer session and cookies, which might be used to impersonate a legitimate user, allowing the hacker to view or alter user records, and to perform transactions as that user",Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,79,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\hotkeys.js:155,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\hotkeys.js,ffa26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
bc3654a4-ccae-ed11-9173-14cb6572319f,High,3,Reflected Cross Site Scripting,Review possible solutions for hazardous character injection,Cross-site Scripting,"It may be possible to steal or manipulate customer session and cookies, which might be used to impersonate a legitimate user, allowing the hacker to view or alter user records, and to perform transactions as that user",Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,79,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\hotkeys.js:158,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\hotkeys.js,ffa26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
bf3654a4-ccae-ed11-9173-14cb6572319f,High,3,Reflected Cross Site Scripting,Review possible solutions for hazardous character injection,Cross-site Scripting,"It may be possible to steal or manipulate customer session and cookies, which might be used to impersonate a legitimate user, allowing the hacker to view or alter user records, and to perform transactions as that user",Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,79,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\hotkeys.js:160,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\hotkeys.js,ffa26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
79f95b9e-ccae-ed11-9173-14cb6572319f,High,3,Reflected Cross Site Scripting,Review possible solutions for hazardous character injection,Cross-site Scripting,"It may be possible to steal or manipulate customer session and cookies, which might be used to impersonate a legitimate user, allowing the hacker to view or alter user records, and to perform transactions as that user",Sanitation of hazardous characters was not performed correctly on user input,ea579dee-473a-48b3-a1f3-8c9cd9b0b09d,,79,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js:756,New,2023-02-17T14:08:40Z,2023-02-17T14:08:40Z,,,,,Sast,,0,,,,,,jazzcalm_workspace\com.ibm.team.install.calm.launchpad.clm\disk1\launchpad\Firefox.js,e3a26692-ccae-ed11-9173-14cb6572319f,,,2023-02-17T14:08:40Z
